OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-03-01T00:00:00,2018-03-31T23:59:59,Month,2018-03,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,213373,300043,192715,155462,110953
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-03-01T00:00:00,2018-03-31T23:59:59,Month,2018-03,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,164145,216265,139799,113963,91849
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-03-01T00:00:00,2018-03-31T23:59:59,Month,2018-03,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,178544,234800,157400,127867,98683
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-02-01T00:00:00,2018-02-28T23:59:59,Month,2018-02,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,150419,206742,128503,103133,81120
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-02-01T00:00:00,2018-02-28T23:59:59,Month,2018-02,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,168901,208741,143027,113786,86962
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-02-01T00:00:00,2018-02-28T23:59:59,Month,2018-02,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,151883,242991,163319,126041,105137
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-02-01T00:00:00,2018-02-28T23:59:59,Month,2018-02,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,197477,239767,162165,134636,99040
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-02-01T00:00:00,2018-02-28T23:59:59,Month,2018-02,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,182842,226855,154359,126087,85837
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-02-01T00:00:00,2018-02-28T23:59:59,Month,2018-02,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,211751,297597,191236,154245,110567
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-02-01T00:00:00,2018-02-28T23:59:59,Month,2018-02,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,164947,217347,140430,114483,92781
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-02-01T00:00:00,2018-02-28T23:59:59,Month,2018-02,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,178668,234951,157467,127902,99088
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-01-01T00:00:00,2018-01-31T23:59:59,Month,2018-01,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,149603,205485,128131,102541,80234
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-01-01T00:00:00,2018-01-31T23:59:59,Month,2018-01,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,169412,209208,143662,114144,87429
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-01-01T00:00:00,2018-01-31T23:59:59,Month,2018-01,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,148102,236798,159345,122822,102745
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-01-01T00:00:00,2018-01-31T23:59:59,Month,2018-01,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,198990,241370,163587,135824,100287
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-01-01T00:00:00,2018-01-31T23:59:59,Month,2018-01,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,182021,225736,153862,125375,85536
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2018-08-22T00:00:00,,2018-01-01T00:00:00,2018-01-31T23:59:59,Month,2018-01,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,207069,290727,187251,150721,108487
